question,option1,option2,option3,option4,correct_index
"
With reference to the Mundaka Upanishad, consider the following statements:

1) It is associated with the Rig Veda.
2) It discusses the distinction between higher knowledge (Para Vidya) and lower knowledge (Apara Vidya).
3) It contains the famous verse “Satyameva Jayate”, which is also the national motto of India.

Which of the statements given above is/are incorrect?",1 only,1 and 2 only,1 and 3 only ,None ,0
The famous Vedic prayer “Tamaso Ma Jyotir Gamaya”  is found in which of the following Upanishads?,Chandogya Upanishad,Brihadaranyaka Upanishad,Kena Upanishad,Katha Upanishad,1
"Consider the following statements with reference to the stock market:

1. Alpha measures market volatility of a stock relative to the market whereas Beta measures extra return generated by the stock compared to the benchmark market return.
2. If the value of Beta is more than 1.5, it means the market value is rising faster than the stock value.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,3
"With reference to financial market instruments in India, consider the following:

1) Infrastructure Investment Trusts (InvITs)
2) Real Estate Investment Trusts (REITs)
3) Alternative Investment Funds (AIFs)
4) Digital Gold
5) Gold Exchange Traded Funds (Gold ETFs)

How many of the above are regulated by the Securities and Exchange Board of India?",Only two,Only three,Only four,All five,2
"Which of the following rulers received the titles “Shankarabhakta”, “Agamapriya”, and “Vadhyavidyadhara”?",Krishnadevaraya,Rajasimha,Mahendravarman I,Narasimhavarman I,1
The famous Pallava ruler Mahendravarman I received the title “Chettakari.” What does this title signify?,Conqueror of enemies,Patron of merchants,Builder of temples,Great wrestler,2
"Consider the following pairs of local winds and their regions:

1) Chinook : North America
2) Foehn : Africa
3) Mistral : Russia
4) Brickfielder : Australia

How many of the pairs given above are correctly matched?",Only one,Only two,Only three,All four,1
"Consider the following local winds:

1) Mistral
2) Bora
3) Brickfielder
4) Buran
5) Zonda

How many of the above are cold local winds?",Only two,Only three,Only four,All five,1
"Consider the following countries:

1) Tajikistan
2) Turkey
3) Azerbaijan
4) Iraq
5) Saudi Arabia

Which of the above share a land border with Iran?","2, 3 and 4 only","1, 2, 3 and 4 only","2, 3, 4 and 5 only","1, 3 and 5 only",0
"With reference to the water bodies around Iran, which of the following does not surround Iran?",Caspian Sea,Persian Gulf,Gulf of Oman,Red Sea,3
